"""
Formato
[fecha][hora][Invernaderox][sensor][problema][mensaje adicional] 
"""
2020-10-05 9:23:30 Invernadero2 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
2020-10-05 9:23:30 Invernadero1 SensorHumedad01	"Fallo lectura" "Cambiar Sensor"
